"","FLR_Accommodation","FLR_Agriculture","FLR_AT","FLR_Government_Support","FLR_Heavy_Industry","FLR_Hospital","FLR_Institutional","FLR_K12","FLR_Light_Industry","FLR_Logging","FLR_MF","FLR_MH","FLR_Office","FLR_Retail","FLR_RRMH","FLR_RRSFD","FLR_SFD","FLR_Warehouse"
"2826",697.809921951,2228338983,31960.8725794,22862.1167905,15227.1893419,0,2117.06924063,6715.34949005,12603.7208525,12379661019,5019.64335814,88737.4857302,20695.7053974,18383.7711764,60824.7866064,278472.049444,326103.226851,116816.448277
"2827",5732.9209263,11376999998,86254.2923362,1914.83369903,0,0,1017.13921047,19426.184522,212282.507438,0,235.268518957,61239.7397304,12066.6342687,21514.2140097,84998.9413454,265387.066289,296150.689646,169046.9858
"2828",6027.77369345,21845000001,35352.8780067,21600.1173225,925.345087463,0,17059.3492353,27651.0619708,4791.26224257,0,53640.7374422,69695.8288406,30196.722464,58494.3037026,49706.1005642,430635.86789,477136.451866,25961.5585614
"2829",0,17056000002,34893.8243806,0,2366.65505931,0,0,3029.25047726,765.104895811,0,1467.97118624,73613.1594399,0,0,58943.5649064,162836.562196,182132.425516,1538.62918934
"2830",2695.82056623,3037803089,34940.8854003,3932.73449644,90149.2774624,0,8668.79489445,23164.757511,24682.9424106,51296911.33,15042.0574941,442582.56853,8723.22269632,67059.0166859,189890.517551,1031283.45501,1937956.06067,66055.5008309
"2831",2114.30216033,36091649,35037.981764,0,0,0,34563.5924357,0,6900.690832,0,183805.743497,50271.1288866,6962.24830282,60923.9439819,128.885805187,417.912187602,753295.223687,8826.70032257
"2832",0,27050760,60194.4679771,89492.7221703,3195.75795111,0,49431.1752196,222057.316619,7787.16332289,10890000,0,50370.3685285,50358.9031139,25753.5161228,350.531880412,834.448240003,557991.038875,59168.9521316
"2833",0,0,192475.993736,2268.82957615,2104.17180377,0,7164.44212959,1495.33546542,4902.73561323,5312737.352,14776.1039743,120696.14667,6938.19366699,68551.5777381,0,0,843184.64127,8067.00289543
"2834",0,0,17342.1283398,2016.73740103,2390.07834207,0,28480.271078,35140.383437,5113.04668887,4487174.876,242423.700374,157609.669885,24993.8125192,99435.5085294,0,0,709431.901776,11094.8617058
"2835",8457.20864137,135601967.2,144953.716669,1260.46087564,583417.997901,188.318801252,569.729545646,747.667732708,229899.404016,10918032.79,17642.897495,351699.752297,6130.7945848,75830.6368333,9454.82895721,30667.7787923,351791.070066,18238.2037003
"2836",5554.4581566,801619999.8,256.051205557,246.595390497,0,0,3170.40018333,4552.84066423,250.967874466,6931499998,0,7328.1157291,668.169155643,4922.02071472,227449.159855,620955.620891,83191.1233098,4961.57217401
"2837",0,0,38416.9339097,4196.1147048,0,0,27816.3828167,0,1735.56794184,13597499.63,0,494829.727538,4199.67796478,7842.74788853,825868.830249,1092972.99608,312729.30503,2876.52542639
"2838",1339.52546529,643244612.6,68946.8447693,493.660553509,24895.9741414,218.310366011,5942.19942523,61288.5041508,27019.9744108,24645387.46,0,128019.790725,2707.86048958,14390.6248511,213664.517193,617000.246575,176540.554152,76502.71383
"2839",46407.1793044,392040,118606.767687,80985.262549,107012.05483,0,6411.38161546,27392.9727264,0,98010000,0,75737.7259224,237660.062399,11367.2684744,57792.1277825,154291.978933,142546.272365,7519.59856913
"2840",0,0,217472.965892,26231.0756061,0,0,0,0,0,3642187.4,29692.5686324,62053.1474797,5511.17383921,0,47349.939005,304529.191715,281348.971264,0
"2841",7004.80123957,10136999999,21696.1630036,8727.84863263,925.345087466,0,5970.18545514,12696.813571,8311.64287667,3424978599,32593.0251389,23694.9236134,9705.62447916,29539.6276224,16517.9880073,262617.396538,250775.829628,9223.11990076
"2842",2403.88716927,24395999999,17140.6073215,657.534472912,0,0,2956.13995509,31389.6590356,0,9002728583,385.35475427,164837.15929,3507.35216807,2682.65269545,70219.9965802,218182.178292,354053.299803,10991.8005547
"2843",0,1249200000,5623.64971636,0,0,0,1794.70385592,0,0,0,0,1655.54910645,3919.85954358,2888.7504911,13112.7064775,540748.596629,297766.187961,3117.66094235
"2844",0,808878688.5,6352.46678682,0,0,0,4359.64376045,13671.7805012,404.510560322,561721311.5,0,1745.79969155,693.71068845,6018.23018976,13821.0818755,604325.147277,333047.060649,7794.15235587
"2845",9877.06742498,0,6537.74998082,0,2175.38900843,0,476.145920961,0,4450.78526924,1419700000,0,1795.22624505,21997.7235925,17419.8471727,14225.2101188,621995.388947,342420.893823,0
"2846",1301.59230498,2117567867,32865.2685102,58945.2527438,4189.08801989,0,17695.5356629,63531.6870628,5398.13315942,11225444586,0,40528.287315,9512.81335693,14670.8566566,143343.096599,1326805.17266,415649.048126,1521.76649975
"2847",39550.8401788,0,202000.380293,0,4701.9195981,50590.7728382,16112.0760335,24639.9353935,16524.8905908,48212848.68,12277.3832892,107927.468294,8024.74949976,54747.7752524,155.3812267,666.741951918,2217516.69987,5065.25128364
"2848",0,0,0,0,0,0,1023.69502028,0,0,369074.99,0,112028.815951,10887.5869815,1404.20422584,145.127928815,306.419965614,395889.281744,0
"2849",20313.8110417,0,78365.4369065,0,0,0,25254.2319031,164453.844681,120.487940593,0,19209.7026333,27468.3656748,11285.1390278,120117.45204,145.127928815,0,634752.885882,0
"2850",0,3046001124,181.105098312,0,8378.17603971,0,0,0,9862.28478838,882898876.4,246.732884678,68035.2147395,10441.0642264,0,236337.491898,776682.693979,260299.824654,0
"2851",0,179430000,0,0,203236.421249,0,1944.29797998,0,0,0,0,226094.344356,458.853723013,0,126.285836744,113.646003077,678139.479945,53862.5897818
"2852",1240.01956478,1641412.455,34592.5105695,0,126604.211365,302.142694923,1760.21598636,888.255970207,69890.0519486,0,49308.8192431,124977.868377,14054.211996,65800.1430269,126.285836744,0,423883.627954,265643.247313
"2853",0,150608297.9,22307.9561433,192.709044445,83776.9349547,0,9036.07719832,0,4415.65989686,111561702.1,35854.6741633,136314.577798,23668.0556368,22853.5273302,145.127928815,0,631583.726056,17282.8740988
